"id","name","code","referentiecode","account_type","tag_ids","reconcile","sort_code"
"0203015","Actuele kostprijs verbouwingen","0203015","BMvaVerAkp","asset_fixed","l10n_nl_rgs.account_tag_0203000","0","B.C.A1"
"0203020","Cumulatieve afschrijvingen en waardeverminderingen verbouwingen","0203020","BMvaVerCae","asset_fixed","l10n_nl_rgs.account_tag_0203000","0","B.C.B"
"0203030","Cumulatieve herwaarderingen verbouwingen","0203030","BMvaVerCuh","asset_fixed","l10n_nl_rgs.account_tag_0203000","0","B.C.C"
"0204010","Kostprijs vastgoedbeleggingen in ontwikkeling","0204010","BVasVioVvp","asset_fixed","l10n_nl_rgs.account_tag_0204000","0","C.A.A"
"0204015","Actuele kostprijs vastgoedbeleggingen in ontwikkeling","0204015","BVasVioAkp","asset_fixed","l10n_nl_rgs.account_tag_0204000","0","C.A.A1"
"0204020","Cumulatieve afschrijvingen en waardeverminderingen","0204020","BVasVioCae","asset_fixed","l10n_nl_rgs.account_tag_0204000","0","C.A.B"
"0204030","Cumulatieve herwaarderingen","0204030","BVasVioCuh","asset_fixed","l10n_nl_rgs.account_tag_0204000","0","C.A.C"
"0205010","Kostprijs vastgoedbeleggingen in exploitatie","0205010","BVasSviVvp","asset_fixed","l10n_nl_rgs.account_tag_0205000","0","C.B.A"
"0205015","Actuele kostprijs vastgoedbeleggingen in exploitatie","0205015","BVasSviAkp","asset_fixed","l10n_nl_rgs.account_tag_0205000","0","C.B.A1"
"0205020","Cumulatieve afschrijvingen en waardeverminderingen","0205020","BVasSviCae","asset_fixed","l10n_nl_rgs.account_tag_0205000","0","C.B.B"
"0205030","Cumulatieve herwaarderingen","0205030","BVasSviCuh","asset_fixed","l10n_nl_rgs.account_tag_0205000","0","C.B.C"
"0206010","Kostprijs Niet-Daeb- vastgoed in exploitatie","0206010","BVasCviVvp","asset_fixed","l10n_nl_rgs.account_tag_0206000","0","C.C.A"
"0206015","Actuele kostprijs Niet-Daeb- vastgoed in exploitatie","0206015","BVasCviAkp","asset_fixed","l10n_nl_rgs.account_tag_0206000","0","C.C.A1"
"0206020","Cumulatieve afschrijvingen en waardeverminderingen Niet-Daeb-vastgoed in exploitatie","0206020","BVasCviCae","asset_fixed","l10n_nl_rgs.account_tag_0206000","0","C.C.B"
"0206030","Cumulatieve herwaarderingen Niet-Daeb-vastgoed in exploitatie","0206030","BVasCviCuh","asset_fixed","l10n_nl_rgs.account_tag_0206000","0","C.C.C"
"0207010","Verkrijgings- of vervaardigingsprijs onroerende zaken verkocht onder voorwaarden","0207010","BVasOzvVvp","asset_fixed","l10n_nl_rgs.account_tag_0207000","0","C.D.A"
"0207015","Actuele kostprijs onroerende zaken verkocht onder voorwaarden","0207015","BVasOzvAkp","asset_fixed","l10n_nl_rgs.account_tag_0207000","0","C.D.A1"
