id,name,code,referentiecode,sort_code,rgs_allowed_journals_code,rgs_allowed_journals_type,parent_id,code_prefix_start,code_prefix_end
account_group_0209000,Huurdersinvesteringen,209000,BMvaHuu,B.L,,,account_group_02,209,209
account_group_0210000,Machines en installaties,210000,BMvaMei,B.D,,,account_group_02,210,210
account_group_0211000,Vliegtuigen,211000,BMvaVli,B.M,,,account_group_02,211,211
account_group_0212000,Schepen,212000,BMvaSch,B.N,,,account_group_02,212,212
account_group_0213000,Automobielen en overige transportmiddelen,213000,BMvaTev,B.I,,,account_group_02,213,213
account_group_0214000,Andere vaste bedrijfsmiddelen,214000,BMvaObe,B.E,,,account_group_02,214,214
account_group_0215000,Inventaris,215000,BMvaBei,B.H,,,account_group_02,215,215
account_group_0216000,Vaste bedrijfsmiddelen in uitvoering,216000,BMvaVbi,B.U,,,account_group_02,2160,2160
account_group_0216100,Vooruitbetalingen op materiële vaste activa,216100,BMvaVmv,B.V,,,account_group_02,2161,2161
account_group_0217000,Niet aan de bedrijfsuitoefening dienstbare materiële vaste activa,217000,BMvaNad,B.W,,,account_group_02,217,217
account_group_0218000,Onroerende en roerende zaken ten dienste van de exploitatie,218000,BMvaOrz,B.X,,,account_group_02,218,218
account_group_0221000,Meerjaren plantopstand,221000,BMvaMep,B.Q,,,account_group_02,221,221
account_group_0222000,Gebruiksvee,222000,BMvaGeb,B.S,,,account_group_02,222,222
account_group_0301000,Deelnemingen in groepsmaatschappijen,301000,BFvaDig,D.A,,"purchase,bank",account_group_03,301,301
account_group_0302000,Deelnemingen in overige verbonden maatschappijen,302000,BFvaDio,D.B,,"purchase,bank",account_group_03,302,302
account_group_0303000,Overige deelnemingen,303000,BFvaAnd,D.E,,"purchase,bank",account_group_03,303,303
account_group_0304000,Overige effecten (langlopend),304000,BFvaOve,D.G,,"purchase,bank",account_group_03,304,304
account_group_0305000,Vorderingen op groepsmaatschappijen,305000,BFvaVog,D.C,,"purchase,bank",account_group_03,305,305
account_group_0306000,Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen,306000,BFvaVop,D.F,,"purchase,bank",account_group_03,306,306
account_group_0307000,Vorderingen op overige verbonden maatschappijen,307000,BFvaVov,D.D,,"purchase,bank",account_group_03,307,307
account_group_0308000,Latente belastingvorderingen,308000,BFvaLbv,D.I,,,account_group_03,308,308
account_group_0309000,Overige vorderingen,309000,BFvaOvr,D.H,,"purchase,bank",account_group_03,309,309
account_group_0310000,Te vorderen BWS-subsidies,310000,BFvaSub,D.J,,"purchase,bank",account_group_03,310,310
account_group_0320000,Leningen u/g (langlopend),320000,BFvaLen,D.K,,"purchase,bank",account_group_03,320,320
account_group_0330000,Interne lening,330000,BFvaIlg,D.L,,"purchase,bank",account_group_03,330,330
account_group_0340000,Netto vermogenswaarde niet-Daeb,340000,BFvaNvm,D.M,,"purchase,bank",account_group_03,340,340
account_group_0401000,Aandelen,401000,BEffAan,H.A,,,account_group_04,401,401
account_group_0402000,Obligaties,402000,BEffObl,H.B,,,account_group_04,402,402
account_group_0403000,Overige effecten,403000,BEffOve,H.C,,,account_group_04,403,403
account_group_0404000,Optierechten,404000,BEffOpt,H.D,,,account_group_04,404,404
account_group_0405000,Optieverplichtingen,405000,BEffOpv,H.E,,,account_group_04,405,405
account_group_0406000,Derivaten,406000,BEffDer,H.F,,,account_group_04,406,406
account_group_0501000,Aandelenkapitaal,501000,BEivGok,J.A,,bank,account_group_05,501,501
account_group_0502000,Agio,502000,BEivAgi,J.D,,bank,account_group_05,502,502
account_group_0503000,Herwaarderingsreserves,503000,BEivHer,J.E,,,account_group_05,503,503
account_group_0504000,Wettelijke reserves,504000,BEivWer,J.F,,,account_group_05,504,504
account_group_0505019,Bestemmingsreserves,505019,BEivBer,J.I,,bank,account_group_05,50502,50502
account_group_0505000,Statutaire reserves,505000,BEivStr,J.G,,,account_group_05,50503,50509
account_group_0506000,Overige reserves,506000,BEivOvr,J.K,,bank,account_group_05,50600,50600
account_group_0506009,Onverdeelde winst,506009,BEivOre,J.L,,,account_group_05,50601,50609
account_group_0507000,Bestemmingsfondsen,507000,BEivBef,J.H,,bank,account_group_05,5070,5070
account_group_0507100,Financiële instrumenten op basis van juridische vorm geclassificeerd als eigen vermogen,507100,BEivFij,J.J,,bank,account_group_05,5071,5071
account_group_0508000,Aandeel van derden,508000,BEivAvd,J.Z,,,account_group_05,508,508
account_group_0509000,Eigen vermogen onderneming natuurlijke personen,509000,BEivKap,J.M,,bank,account_group_05,50900,50904
account_group_0509049,"Kapitaal stichting, coöperatie en vereniging",509049,BEivSev,J.B,,bank,account_group_05,50905,50906
account_group_0509069,Commanditair kapitaal,509069,BEivCok,J.C,,bank,account_group_05,50907,50907
account_group_0509079,Overige kapitaalcomponenten,509079,BEivOkc,J.X,,bank,account_group_05,50908,50909
account_group_0509100,Eigen vermogen firmant 2,509100,BEivKa2,J.N,,bank,account_group_05,5091,5091
account_group_0509200,Eigen vermogen firmant 3,509200,BEivKa3,J.O,,bank,account_group_05,5092,5092
account_group_0509300,Eigen vermogen firmant 4,509300,BEivKa4,J.P,,bank,account_group_05,5093,5093
account_group_0509400,Eigen vermogen firmant 5,509400,BEivKa5,J.Q,,bank,account_group_05,5094,5094
account_group_0510000,Fiscale reserves,510000,BEivFir,J.Y,,,account_group_05,510,510
account_group_0601000,Egalisatierekening,601000,BEgaEga,J.Z.B010,,,account_group_06,601,601
account_group_0701000,Voorziening voor pensioenen,701000,BVrzVvp,K.A,,,account_group_07,701,701
account_group_0702000,Voorziening voor belastingen,702000,BVrzVvb,K.B,,,account_group_07,702,702
account_group_0704000,Overige voorzieningen,704000,BVrzOvz,K.C,,,account_group_07,703,704
account_group_0704174,Voorziening voor onrendabele investeringen en herstructureringen,704174,BVrzOih,K.D,,,account_group_07,704175,704175
account_group_0705000,Negatieve goodwill,705000,BLasNeg,L.O,,bank,account_group_08,705,705
account_group_0801000,Achtergestelde schulden,801000,BLasAcl,L.A,,,account_group_08,801,801
account_group_0802000,Converteerbare leningen,802000,BLasCol,L.B,,,account_group_08,802,802
account_group_0803000,"Obligatieleningen, pandbrieven en andere leningen",803000,BLasAoe,L.C,,,account_group_08,803,803
account_group_0804000,Financiële lease verplichtingen,804000,BLasFlv,L.D,,,account_group_08,804,804
account_group_0805000,Schulden aan banken,805000,BLasSak,L.E,,,account_group_08,805,805
account_group_0806009,Schulden aan groepsmaatschappijen,806009,BLasSag,L.I,,,account_group_08,80601,80601
account_group_0806019,Schulden aan overige verbonden maatschappijen,806019,BLasSao,L.J,,,account_group_08,80602,80602
account_group_0806029,Schulden aan participanten en aan maatschappijen waarin wordt deelgenomen,806029,BLasSap,L.K,,,account_group_08,80603,80603
account_group_0806039,Belastingen en premies sociale verzekeringen,806039,BLasBep,L.L,,,account_group_08,806040,806043
account_group_0806044,Schulden uit hoofde van belastingen,806044,BLasSuh,L.M,,,account_group_08,806044,806048
account_group_0806049,Schulden ter zake van pensioenen,806049,BLasStz,L.N,,,account_group_08,80605,80605
account_group_0806059,Ontvangen vooruitbetalingen op bestellingen,806059,BLasVob,L.F,,,account_group_08,80606,80606
account_group_0806069,Schulden aan leveranciers en handelskredieten,806069,BLasSal,L.G,,,account_group_08,80607,80607
account_group_0806079,Te betalen wissels en cheques,806079,BLasTbw,L.H,,,account_group_08,80608,80609
account_group_0806119,Schulden aan overheid (langlopend),806119,BLasSoh,L.S,,,account_group_08,8061,8061
account_group_0806109,Verplichtingen uit hoofde van onroerende zaken verkocht onder voorwaarden,806109,BLasVhz,L.T,,,account_group_08,80611,80611
account_group_0806129,Overige schulden,806129,BLasOls,L.U,,,account_group_08,80613,80614
account_group_0806148,Oudedagsverplichting,806148,BLasOdv,L.P,,,account_group_08,806149,806149
account_group_0806170,Overlopende passiva,806170,BLasOvp,L.V,,,account_group_08,80617,80617
account_group_0807000,Participaties (geclassificeerd als vreemd vermogen),807000,BLasPar,L.Q,,,account_group_08,8070,8070
account_group_1001000,Kasmiddelen,1001000,BLimKas,I.A,,cash,account_group_10,1001,1001
account_group_1002000,Tegoeden op bankgirorekeningen,1002000,BLimBan,I.B,,,account_group_10,1002,1002
